"","Longitude","Latitude","mes","ndvi_mean","ndvi_sd","ndvi_max","ndvi_min","ndvi_cv","ndvi_obs"
"134",622902.01,7959155.77,"Feb",0.738272093023256,0.114758191585573,0.9455,0.5057,15.5441594867325,43
"135",622902.01,7959155.77,"Mar",0.663004545454545,0.166092949536803,0.8732,0.2412,25.0515551779411,44
"136",622902.01,7959155.77,"Apr",0.611718604651163,0.192540650322414,0.8213,0.1782,31.4753628316098,43
"137",622902.01,7959155.77,"May",0.588777272727273,0.150634507402175,0.7817,0.2789,25.5842938203816,44
"138",622902.01,7959155.77,"Jun",0.489170454545455,0.151187661886694,0.7677,0.1714,30.9069487909241,44
"139",622902.01,7959155.77,"Jul",0.37045,0.131120960487139,0.6271,0.194,35.3950493959073,44
"140",622902.01,7959155.77,"Aug",0.287066666666667,0.0907969422141911,0.5672,0.1354,31.6292181424261,42
"141",622902.01,7959155.77,"Sep",0.273183333333333,0.104252378850245,0.6484,0.1238,38.1620568056536,42
"142",622902.01,7959155.77,"Oct",0.332251851851852,0.132323843337735,0.7067,0.1367,39.8263674378969,27
"143",622902.01,7959155.77,"Nov",0.405283333333333,0.136316821098079,0.8442,0.1359,33.6349437261371,36
"144",622902.01,7959155.77,"Dec",0.570340476190476,0.174876688345237,0.9005,0.135,30.6618056486724,42
"145",622971.54,7960156.56,"Jan",0.69045,0.152157776345605,0.9031,0.215,22.0374793751328,42
"146",622971.54,7960156.56,"Feb",0.725618604651163,0.143101562761115,0.9622,0.2521,19.72131941544,43
"147",622971.54,7960156.56,"Mar",0.665652272727273,0.160317274800209,0.8416,0.2213,24.0842375769809,44
"148",622971.54,7960156.56,"Apr",0.615576744186046,0.171437947731769,0.8591,0.2684,27.8499714862449,43
"149",622971.54,7960156.56,"May",0.590777272727273,0.167907744414156,0.8165,0.2851,28.4214969270947,44
"150",622971.54,7960156.56,"Jun",0.494797727272727,0.161521249935608,0.8103,0.1708,32.6438948751636,44
"151",622971.54,7960156.56,"Jul",0.362452272727273,0.126693276355868,0.6299,0.1846,34.9544714956715,44
"152",622971.54,7960156.56,"Aug",0.28155,0.0902285586988845,0.5711,0.1776,32.0470817612802,42
"153",622971.54,7960156.56,"Sep",0.269952380952381,0.109834918784678,0.7093,0.1339,40.6867753480019,42
"154",622971.54,7960156.56,"Oct",0.333996296296296,0.13375379931766,0.6741,0.1743,40.0464917727721,27
"155",622971.54,7960156.56,"Nov",0.434441666666667,0.140204693980928,0.7836,0.2197,32.2723865453962,36
"156",622971.54,7960156.56,"Dec",0.565014285714286,0.158131798334805,0.8908,0.1792,27.9872212673164,42
"157",622977.08,7959388.38,"Jan",0.633369047619048,0.208471061907233,0.9133,0.1332,32.9146273710271,42
"158",622977.08,7959388.38,"Feb",0.738946511627907,0.149044666281841,0.9663,0.2852,20.1698856326548,43
"159",622977.08,7959388.38,"Mar",0.677013636363636,0.17283326229031,0.8701,0.1829,25.5287712103746,44
"160",622977.08,7959388.38,"Apr",0.592016279069767,0.222179043984407,0.8398,0.1769,37.5292119219282,43
"161",622977.08,7959388.38,"May",0.587306818181818,0.173608434579321,0.8286,0.2642,29.5600917961037,44
"162",622977.08,7959388.38,"Jun",0.480865909090909,0.168922657330565,0.7846,0.2113,35.1288486326506,44
"163",622977.08,7959388.38,"Jul",0.355829545454545,0.134584861409888,0.665,0.1325,37.8228461152562,44
"164",622977.08,7959388.38,"Aug",0.278778571428571,0.0931614924523979,0.5996,0.1262,33.4177379470028,42
"165",622977.08,7959388.38,"Sep",0.26677380952381,0.116955134319405,0.7274,0.122,43.8405608587177,42
"166",622977.08,7959388.38,"Oct",0.328233333333333,0.146876164479836,0.7476,0.1408,44.7474858778823,27
"167",622977.08,7959388.38,"Nov",0.416902777777778,0.177782974415616,0.8517,0.1056,42.6437490686089,36
"168",622977.08,7959388.38,"Dec",0.578890476190476,0.196034780151472,0.925,0.1485,33.8638806845683,42
"169",622982.53,7958617.25,"Jan",0.683240476190476,0.189529647670514,0.9073,0.1252,27.739815522533,42
"170",622982.53,7958617.25,"Feb",0.696537209302326,0.11624493849351,0.9444,0.4035,16.6889775508109,43
"171",622982.53,7958617.25,"Mar",0.632225,0.139765085511035,0.8404,0.2482,22.1068583986769,44
"172",622982.53,7958617.25,"Apr",0.598962790697674,0.204395919518556,0.8638,0.1841,34.124977827166,43
"173",622982.53,7958617.25,"May",0.579238636363636,0.147660678294448,0.7809,0.2599,25.4922011455307,44
"174",622982.53,7958617.25,"Jun",0.459615909090909,0.148119299722613,0.8057,0.2353,32.2267564705458,44
"175",622982.53,7958617.25,"Jul",0.332593181818182,0.0950107763722089,0.5984,0.2055,28.5666638903465,44
"176",622982.53,7958617.25,"Aug",0.273561904761905,0.0849525777394428,0.5644,0.1197,31.0542426634226,42
"177",622982.53,7958617.25,"Sep",0.264157142857143,0.0976103706576833,0.6553,0.1349,36.9516302311277,42
"178",622982.53,7958617.25,"Oct",0.327451851851852,0.121919135780712,0.6207,0.1412,37.2326908799622,27
"179",622982.53,7958617.25,"Nov",0.431305555555556,0.127802823452926,0.6718,0.1525,29.631620044473,36
"180",622982.53,7958617.25,"Dec",0.60235,0.16704088188079,0.8659,0.2015,27.7315318138608,42
"181",623053.41,7959619.69,"Jan",0.63232380952381,0.203107904530312,0.9185,0.2252,32.1208693190391,42
"182",623053.41,7959619.69,"Feb",0.733918604651163,0.149535302816702,0.9719,0.2797,20.3749164919695,43
"183",623053.41,7959619.69,"Mar",0.691118181818182,0.165342891455172,0.8926,0.1807,23.9239678256172,44
"184",623053.41,7959619.69,"Apr",0.594806976744186,0.217582589021742,0.8472,0.2059,36.5803693515383,43
"185",623053.41,7959619.69,"May",0.576945454545455,0.18994989358218,0.8353,0.2296,32.9233711931801,44
"186",623053.41,7959619.69,"Jun",0.4801,0.172183525668479,0.7919,0.2157,35.8640961608997,44
"187",623053.41,7959619.69,"Jul",0.352311363636364,0.133311291965606,0.6508,0.1462,37.8390553712604,44
"188",623053.41,7959619.69,"Aug",0.277511904761905,0.0954717355757418,0.5981,0.1298,34.4027531567171,42
"189",623053.41,7959619.69,"Sep",0.263795238095238,0.115248149982254,0.7183,0.125,43.6884876370081,42
"190",623053.41,7959619.69,"Oct",0.326659259259259,0.143627529124841,0.7338,0.1422,43.9686079771731,27
"191",623053.41,7959619.69,"Nov",0.410722222222222,0.159431902366068,0.8583,0.1056,38.8174522195215,36
"192",623053.41,7959619.69,"Dec",0.57542619047619,0.194034383500078,0.9268,0.1815,33.7201167954323,42
"193",623059.13,7958849.12,"Jan",0.674390476190476,0.17169177688098,0.9011,0.2141,25.4588080559558,42
"194",623059.13,7958849.12,"Feb",0.70576511627907,0.160873548217405,0.9441,0.2654,22.7942051125396,43
"195",623059.13,7958849.12,"Mar",0.650986363636364,0.178533701581586,0.8817,0.1777,27.4251062010438,44
"196",623059.13,7958849.12,"Apr",0.598816279069767,0.212452022516942,0.8406,0.1471,35.478665150349,43
"197",623059.13,7958849.12,"May",0.588381818181818,0.164310061791479,0.8265,0.2549,27.9257544529877,44
"198",623059.13,7958849.12,"Jun",0.482772727272727,0.165986955726824,0.7875,0.2352,34.3820075886464,44
"199",623059.13,7958849.12,"Jul",0.352215909090909,0.117837179632769,0.6226,0.1646,33.4559503393569,44
"200",623059.13,7958849.12,"Aug",0.278583333333333,0.0860326141126544,0.5718,0.1306,30.8821827505789,42
"201",623059.13,7958849.12,"Sep",0.267185714285714,0.111745613918244,0.7028,0.1213,41.8231993491796,42
"202",623059.13,7958849.12,"Oct",0.338785185185185,0.140229039853497,0.7116,0.1397,41.3917272612867,27
"203",623059.13,7958849.12,"Nov",0.429152777777778,0.147746536795015,0.7926,0.1359,34.4274916639408,36
"204",623059.13,7958849.12,"Dec",0.572652380952381,0.194679664637735,0.9115,0.1613,33.9961329269185,42
"205",623128.41,7959852.61,"Jan",0.529930952380952,0.173744266075726,0.934,0.2166,32.7862083343316,42
