"","Gleba","Ponto","Ano","NDVI","EVI","PH","MO","P","K","Ca","Mg","CTC","V%","S","B","Cu","Fe","Mn","Zn"
"780",4,28,2011,0.546495652173913,0.345404347826087,5.2,39,4,1.2,14,8,69,33.6,16,0.13,3.1,15,3,0.4
"781",4,28,2012,0.579569565217391,0.38074347826087,5.2,44,6,1.2,26,11,87,42.8,57,0.25,2.9,13,1.5,0.2
"782",4,28,2013,0.577469565217391,0.38375652173913,5.2,44,6,1.2,26,11,87,42.8,57,0.25,2.9,13,1.5,0.2
"783",4,28,2014,0.544330434782609,0.354047826086957,5.2,35,8,0.8,29,12,79,52.1,41,0.25,2.6,15,3.7,1.4
"784",4,28,2015,0.595130434782609,0.385639130434783,5.4,43,7,1,45,16,102,60.7,22,0.38,3.7,25,4.9,0.5
"785",4,28,2016,0.531165217391304,0.333939130434783,5.2,33,13,1.4,34,12,84,56.1,38,0.22,3,27,6.8,1.2
"786",4,29,2010,0.501921739130435,0.306665217391304,5.1,35,13,0.6,11,6,65,27.3,4,0.13,4.4,15,4.5,0.4
"787",4,29,2011,0.530039130434783,0.331713043478261,5.1,35,13,0.6,11,6,65,27.3,4,0.13,4.4,15,4.5,0.4
"788",4,29,2012,0.584986956521739,0.397726086956522,5.2,38,11,0.6,27,5,76,43,48,0.26,2.8,12,2.7,0.2
"789",4,29,2013,0.553795652173913,0.369052173913043,5.2,38,11,0.6,27,5,76,43,48,0.26,2.8,12,2.7,0.2
"790",4,29,2014,0.553847826086956,0.368560869565217,5.1,40,24,1.1,34,7,87,48.2,48,0.25,3.1,13,4.2,0.3
"791",4,29,2015,0.593334782608696,0.384539130434783,5.2,40,11,2,34,7,83,50.9,38,0.32,4.2,18,6,0.2
"792",4,29,2016,0.516208695652174,0.326969565217391,5,36,23,1,30,9,81,49.4,44,0.24,3.6,25,10,0.6
"793",4,30,2010,0.544978260869565,0.364517391304348,5.3,36,17,0.4,21,9,71,42.5,7,0.21,3.2,12,5,0.4
"794",4,30,2011,0.530508695652174,0.345073913043478,5.3,36,17,0.4,21,9,71,42.5,7,0.21,3.2,12,5,0.4
"795",4,30,2012,0.570908695652174,0.389813043478261,5,38,13,0.8,21,7,79,36.5,41,0.31,2.7,11,3.6,0.2
"796",4,30,2013,0.591913043478261,0.402247826086957,5,38,13,0.8,21,7,79,36.5,41,0.31,2.7,11,3.6,0.2
"797",4,30,2014,0.583230434782609,0.394704347826087,5.2,36,17,1.1,31,10,82,51.3,30,0.22,2.6,11,4.5,0.5
"798",4,30,2015,0.58724347826087,0.382060869565217,5.1,45,11,1,33,7,90,45.9,40,0.35,3.5,21,6.1,0.4
"799",4,30,2016,0.5365,0.357130434782609,5.1,39,23,1.1,37,12,89,56.2,44,0.22,3.3,22,9.6,0.8
"800",4,31,2010,0.509586956521739,0.320286956521739,5.6,30,10,0.6,21,12,66,51.2,3,0.12,3.9,11,4.2,0.4
"801",4,31,2011,0.535447826086957,0.347508695652174,5.6,30,10,0.6,21,12,66,51.2,3,0.12,3.9,11,4.2,0.4
"802",4,31,2012,0.584626086956522,0.399704347826087,5.5,36,6,0.6,38,14,87,60.8,29,0.21,2.8,10,3.2,0.2
"803",4,31,2013,0.563630434782609,0.378986956521739,5.5,36,6,0.6,38,14,87,60.8,29,0.21,2.8,10,3.2,0.2
"804",4,31,2014,0.566869565217391,0.382973913043478,5.4,31,11,0.8,32,13,77,59.5,28,0.18,3.3,11,4.6,1.7
"805",4,31,2015,0.598891304347826,0.392447826086956,5.5,45,11,1.3,46,12,96,61.5,52,0.31,4.9,18,9,0.4
"806",4,31,2016,0.517247826086957,0.333169565217391,5.2,39,35,1.1,38,12,87,58.7,48,0.25,3.5,27,8,2
"807",4,32,2010,0.514726086956522,0.328426086956522,5.1,28,14,0.5,11,5,57,28.4,13,0.2,4.1,14,6.1,0.4
"808",4,32,2011,0.54545652173913,0.350573913043478,5.1,28,14,0.5,11,5,57,28.4,13,0.2,4.1,14,6.1,0.4
"809",4,32,2012,0.580873913043478,0.398834782608696,5,30,13,0.8,19,5,68,35.8,58,0.26,3.1,10,4,0.2
"810",4,32,2013,0.589982608695652,0.409108695652174,5,30,13,0.8,19,5,68,35.8,58,0.26,3.1,10,4,0.2
"811",4,32,2014,0.564686956521739,0.382765217391304,5,31,18,0.6,21,6,66,42.4,48,0.17,3.1,10,4.2,1.3
"812",4,32,2015,0.602160869565217,0.408821739130435,5.2,35,12,1,30,7,78,47.5,68,0.25,4,17,6.2,0.4
"813",4,32,2016,0.515708695652174,0.342560869565217,4.9,35,27,0.7,24,9,82,40.8,99,0.22,3.8,27,11.5,0.8
