"","Longitude","Latitude","mes","evi_mean","evi_sd","evi_max","evi_min","evi_cv","evi_obs"
"214",623128.41,7959852.61,"Oct",0.188811111111111,0.106815363103216,0.5145,0.0583,56.5726044800177,27
"215",623128.41,7959852.61,"Nov",0.252866666666667,0.135714060751693,0.7504,0.0522,53.6702059392407,36
"216",623128.41,7959852.61,"Dec",0.375954761904762,0.157309037469098,0.8004,0.1038,41.8425442125263,42
"217",623135.76,7959082.5,"Jan",0.497464285714286,0.145394841424625,0.9518,0.2072,29.2271919009944,42
"218",623135.76,7959082.5,"Feb",0.527320930232558,0.180720115830476,0.9675,0.1255,34.2713716580101,43
"219",623135.76,7959082.5,"Mar",0.455597727272727,0.17415122336454,0.8238,0.0677,38.2247787773292,44
"220",623135.76,7959082.5,"Apr",0.380246511627907,0.174647048628611,0.6317,0.0605,45.9299541975846,43
"221",623135.76,7959082.5,"May",0.349252272727273,0.142427168640002,0.6231,0.1009,40.7805989429372,44
"222",623135.76,7959082.5,"Jun",0.271095454545455,0.121958778690952,0.5251,0.0997,44.9873934240026,44
"223",623135.76,7959082.5,"Jul",0.198220454545455,0.0886533530879801,0.4442,0.0622,44.7246240511727,44
"224",623135.76,7959082.5,"Aug",0.158614285714286,0.0659790342584103,0.3762,0.0432,41.5971575077791,42
"225",623135.76,7959082.5,"Sep",0.148038095238095,0.078290870889115,0.4433,0.047,52.8856243139287,42
"226",623135.76,7959082.5,"Oct",0.196685185185185,0.0972330456002236,0.4905,0.0543,49.4358766821587,27
"227",623135.76,7959082.5,"Nov",0.270286111111111,0.128810319357635,0.6574,0.0467,47.6570249311414,36
"228",623135.76,7959082.5,"Dec",0.377888095238095,0.151826104318002,0.6773,0.0639,40.177530393579,42
"229",623202.6,7960080.84,"Jan",0.530340476190476,0.17745572454947,0.9944,0.2654,33.4607167501459,42
"230",623202.6,7960080.84,"Feb",0.499433333333333,0.160746652154444,0.8906,0.1137,32.1858076795923,42
"231",623202.6,7960080.84,"Mar",0.465488636363636,0.161923005268883,0.7511,0.0693,34.7855978899535,44
"232",623202.6,7960080.84,"Apr",0.392460465116279,0.178406432912438,0.6599,0.0506,45.458447097233,43
"233",623202.6,7960080.84,"May",0.358275,0.160819174960213,0.6622,0.1094,44.8870769549127,44
"234",623202.6,7960080.84,"Jun",0.276011363636364,0.134978093340431,0.64,0.0808,48.9030928155048,44
"235",623202.6,7960080.84,"Jul",0.205806818181818,0.099907758382367,0.4791,0.0508,48.5444356338595,44
"236",623202.6,7960080.84,"Aug",0.16297380952381,0.0676857302377428,0.3845,0.0496,41.5316610905229,42
"237",623202.6,7960080.84,"Sep",0.155533333333333,0.0841779058743942,0.4671,0.0436,54.1220997906521,42
"238",623202.6,7960080.84,"Oct",0.214114814814815,0.120481788294087,0.5495,0.0539,56.2697113687769,27
"239",623202.6,7960080.84,"Nov",0.274661111111111,0.136883728090204,0.5541,0.0487,49.8373168070487,36
"240",623202.6,7960080.84,"Dec",0.419245238095238,0.177409530640654,0.8314,0.0963,42.3164092326202,42
"241",623211.44,7959313.58,"Jan",0.499192857142857,0.143923866040445,0.7839,0.1728,28.8313151883215,42
"242",623211.44,7959313.58,"Feb",0.542316666666667,0.158009666139436,0.9268,0.1656,29.1360520248506,42
"243",623211.44,7959313.58,"Mar",0.457118181818182,0.163202724944087,0.8726,0.0711,35.7025232063513,44
"244",623211.44,7959313.58,"Apr",0.381623255813954,0.190991062913836,0.6875,0.0504,50.0470188868538,43
"245",623211.44,7959313.58,"May",0.358881818181818,0.15758365113042,0.6333,0.0975,43.9096223733978,44
"246",623211.44,7959313.58,"Jun",0.283256818181818,0.135835920854138,0.6215,0.0992,47.9550401385034,44
"247",623211.44,7959313.58,"Jul",0.201181818181818,0.0915270916119534,0.4764,0.0736,45.4947134085625,44
"248",623211.44,7959313.58,"Aug",0.162178571428571,0.0658483162209097,0.3882,0.0562,40.6023530981165,42
"249",623211.44,7959313.58,"Sep",0.155271428571429,0.0837197452763022,0.459,0.0472,53.9183197105636,42
"250",623211.44,7959313.58,"Oct",0.198781481481481,0.114881986393519,0.5382,0.0508,57.7931030281721,27
"251",623211.44,7959313.58,"Nov",0.289822222222222,0.161977391916475,0.7065,0.0518,55.8885342450651,36
"252",623211.44,7959313.58,"Dec",0.390945238095238,0.168495403718713,0.7621,0.0492,43.099489979634,42
